Name,Age,Address
Eve,35.0,Rome
Bob,60.0,London
Laura,27.0,Toronto
Eve,30.0,London
Olivia,54.0,Rome
James,,London
James,,New York
Eve,37.0,Rome
Sophia,,Moscow
Eve,22.0,Moscow
James,56.0,Rome
Bob,51.0,
Olivia,,Berlin
Alice,,Paris
Sophia,25.0,Toronto
Bob,58.0,Rome
John,43.0,Madrid
Sophia,50.0,Toronto
Laura,45.0,Rome
Alice,43.0,Madrid
Olivia,47.0,Rome
Eve,31.0,Moscow
Sophia,22.0,New York
James,,New York
David,24.0,London
Bob,28.0,Tokyo
John,33.0,Sydney
Emma,32.0,Paris
John,37.0,Berlin
David,51.0,New York
Alice,,Berlin
Mike,39.0,London
Mike,,Rome
Eve,,Rome
John,30.0,
James,55.0,Berlin
Bob,51.0,Paris
Olivia,34.0,Paris
Emma,51.0,Sydney
Sophia,58.0,Moscow
Olivia,53.0,New York
Alice,46.0,
Bob,40.0,Rome
John,25.0,Sydney
Eve,54.0,Moscow
Bob,38.0,Berlin
Mike,53.0,
Sophia,57.0,Rome
Alice,,Madrid
Laura,58.0,Berlin
James,36.0,Madrid
Mike,58.0,New York
James,52.0,London
Alice,45.0,Madrid
Alice,34.0,Moscow
Bob,27.0,Paris
James,47.0,Paris
Laura,29.0,New York
James,38.0,Moscow
Mike,54.0,Tokyo
Sophia,43.0,Toronto
David,58.0,Tokyo
John,29.0,Moscow
David,,New York
Laura,39.0,London
Bob,21.0,Toronto
Mike,57.0,Moscow
Emma,52.0,Moscow
David,,Rome
James,59.0,Rome
John,32.0,London
Eve,49.0,Paris
Bob,,Berlin
Eve,,Sydney
James,30.0,Paris
Sophia,25.0,
Laura,,Moscow
John,,Paris
David,24.0,New York
John,31.0,Rome
Eve,50.0,Sydney
Laura,53.0,Tokyo
Eve,37.0,Madrid
Bob,48.0,
Olivia,57.0,London
Emma,,Berlin
David,33.0,Toronto
David,,Madrid
Emma,,Paris
Laura,,Rome
Alice,,Tokyo
Sophia,37.0,Toronto
Olivia,,Berlin
Alice,58.0,New York
Bob,,Tokyo
Emma,35.0,New York
Emma,52.0,Toronto
Laura,27.0,New York
Mike,21.0,New York
Laura,,Berlin
Mike,23.0,
Sophia,,
Bob,53.0,Rome
Bob,,Sydney
Olivia,53.0,
Mike,,Moscow
Emma,24.0,Rome
Alice,47.0,Berlin
Laura,32.0,London
James,30.0,Paris
Mike,45.0,
Alice,26.0,Sydney
Olivia,59.0,New York
Alice,,Paris
Sophia,28.0,Berlin
Olivia,44.0,Rome
David,58.0,Tokyo
Mike,38.0,Paris
Eve,49.0,Moscow
Emma,47.0,Madrid
Eve,49.0,Toronto
Eve,33.0,Rome
James,,London
Sophia,32.0,Paris
David,29.0,Toronto
Emma,58.0,New York
John,30.0,Berlin
James,39.0,Rome
Bob,,London
Eve,39.0,Sydney
Eve,43.0,Tokyo
